"Address","Reposting ID","Description","Price","Bedrooms","Square Footage","Link","ID","Neighborhood","City"
"(Roxborough/Manayunk)",4896787298,"Beautiful Bright One Bedroom Apartment Home, free parking","$1,090 ",1,650,"/apa/5541985230.html",5541985230,"Roxborough-Manayunk","Philadelphia"
"(Temple University)",5432213593,"18th & Montgomery! Fall 2016 Semester! Student Housing!","$1,650 ",3,,"/apa/5541979318.html",5541979318,"North Philadelphia","Philadelphia"
" (Drexel Hill, PA)",4862568489,"GARRETT HOUSE - Just $725 For a Renovated Unit!","$725 ",1,,"/apa/5541973638.html",5541973638,"Drexel Hill","Upper Darby"
"(WEST MOUNT AIRY AT HORTTER & PELHAM ROAD)",4260884646,"I WILL PAY ALL YOUR BILLS 50""NEW TV INTERNET ALL UTILITIES & CABLE","$1,250 ",2,1240,"/apa/5541970051.html",5541970051,"Northwest Philadelphia","Philadelphia"
"(Temple University)",5432278131,"17th & Edgley! Fall 2016/2017 Student Housing!","$2,250 ",5,,"/apa/5541969534.html",5541969534,"North Philadelphia","Philadelphia"
"(Temple University)",5429137833,"16th & Norris! Fall Student Housing 2016/2017!","$1,000 ",2,,"/apa/5541968666.html",5541968666,"North Philadelphia","Philadelphia"
"(Temple University)",5418546812,"17th & Oxford ! Prime Location for Temple Students! Fall 2016!","$1,200 ",2,,"/apa/5541966893.html",5541966893,"North Philadelphia","Philadelphia"
"(Temple Univ. Area)",,"GOREGOUS 3 BEDROOM HOUSE","$900 ",3,,"/apa/5541962312.html",5541962312,"North Philadelphia","Philadelphia"
"(Roxborough/Manayunk)",5298304608,"One bedroom (Apt C3), $500 Security, 1st Month Free, parking","$1,050 ",1,600,"/apa/5541959684.html",5541959684,"Roxborough-Manayunk","Philadelphia"
"(13th & Susquehanna Ave)",5237761040,"Townhouse (rooms) for Rent","$1,496 ",5,,"/apa/5541957138.html",5541957138,"North Philadelphia","Philadelphia"
