"","Neighborhood","Cluster","Address","Reposting.ID","Description","Price","Bedrooms","Square.Footage","Link","ID","City"
"1","Academy Garden",7,"(Academy Gardens)",5401373918,"2+br/2ba home in nice location","$1,100 ",2,NA,"/apa/5513678256.html",5513678256,"Philadelphia"
"2","Angora",8,"(Broomall)",NA,"Three bed Two complete bath house now available for rent","$1,975 ",3,NA,"/apa/5541490811.html",5541490811,"Philadelphia"
"3","Bella Vista",9,"(Bella Vista)",4856903252,"Energy Efficient","$1,600 ",1,NA,"/apa/5527456231.html",5527456231,"Philadelphia"
"4","Bella Vista",9,"(Bella Vista)",NA,"The Utilities included in the rent","$700 ",1,NA,"/apa/5540824137.html",5540824137,"Philadelphia"
"5","Bella Vista",9,"(Bella Vista)",5484901418,"Bright, big bilevel with w/d, garden views, hw floors","$1,100 ",2,900,"/apa/5541008348.html",5541008348,"Philadelphia"
"6","Bella Vista",9,"(Bella Vista)",NA,"Spacious Bella Vista Duplex","$800 ",4,NA,"/apa/5540557411.html",5540557411,"Philadelphia"
"7","Bella Vista",9,"(Bella Vista)",NA,"Bright Corner Apartment Overlooking a Park","$1,600 ",1,680,"/apa/5511828581.html",5511828581,"Philadelphia"
"8","Bella Vista",9,"(Bella Vista)",NA,"""Brownstone 3/flrs. 2500sqft. Apartment""","$2,300 ",2,NA,"/apa/5526509710.html",5526509710,"Philadelphia"
"9","Bella Vista",9,"(Bella Vista)",NA,"Brownstone 1000sqft. Apartment [Open House] Sat/Sun","$1,150 ",1,NA,"/apa/5519274187.html",5519274187,"Philadelphia"
"10","Bella Vista",9,"(Bella Vista)",5437371669,"Two Bedroom Loft","$2,200 ",2,NA,"/apa/5532176208.html",5532176208,"Philadelphia"
"11","Bella Vista",9,"(Bella Vista)",NA,"The Utilities included in the rent","$700 ",1,NA,"/apa/5540813332.html",5540813332,"Philadelphia"
"12","Brewerytown",12,"(Brewerytown)",NA,"First Month FREE, Move-in NOW! 2 bd 2 bth Condo Style Apartment","$1,550 ",2,800,"/apa/5540695914.html",5540695914,"Philadelphia"
"13","Brewerytown",12,"(Brewerytown)",NA,"First Month FREE, Move-in NOW! 2 bd 2 bth Condo Style Apartment","$1,550 ",2,800,"/apa/5540795730.html",5540795730,"Philadelphia"
"14","Brewerytown",12,"(Brewerytown)",NA,"First Month FREE, Move-in NOW! 2 bd 2 bth Condo Style Apartment","$1,550 ",2,800,"/apa/5540711879.html",5540711879,"Philadelphia"
"15","Brewerytown",12,"(Brewerytown)",NA,"First Month FREE, Move-in NOW! 2 bd 2 bth Condo Style Apartment","$1,550 ",2,800,"/apa/5541056141.html",5541056141,"Philadelphia"
"16","Brewerytown",12,"(BREWERYTOWN)",NA,"Large Three bedroom two story home","$700 ",3,NA,"/apa/5540834201.html",5540834201,"Philadelphia"
"17","Brewerytown",12,"(Brewerytown)",NA,"GORGEOUS RENOVATED APARTMENT! GRANITE! HARDWOOD! GREAT LOCATION!!","$750 ",1,650,"/apa/5528225008.html",5528225008,"Philadelphia"
"18","Brewerytown",12,"(Brewerytown)",NA,"First Month FREE, Move-in NOW! 2 bd 2 bth Condo Style Apartment","$1,550 ",2,800,"/apa/5540696722.html",5540696722,"Philadelphia"
"19","Brewerytown",12,"(Brewerytown)",NA,"BEAUTIFUL BREWERYTOWN APARTMENT! FULLY RENOVATED! HARDWOOD! GRANITE!!","$750 ",1,650,"/apa/5532649599.html",5532649599,"Philadelphia"
"20","Brewerytown",12,"(Brewerytown)",NA,"Uniquely Beautiful & Charm Filled","$500 ",1,NA,"/apa/5540813687.html",5540813687,"Philadelphia"
"21","Bridesburg",16,"(Bridesburg)",5408586301,"Wonderful home on quiet block","$900 ",3,NA,"/apa/5534379336.html",5534379336,"Philadelphia"
"22","Bridesburg",16,"(Bridesburg)",NA,"Freshly Painted Twin Home","$600 ",2,NA,"/apa/5540814715.html",5540814715,"Philadelphia"
"23","Bridesburg",16,"(BRIDESBURG)",NA,"Enclosed patio Three bedroom Bridesburg","$850 ",3,NA,"/apa/5540834225.html",5540834225,"Philadelphia"
"24","Bustleton",15,"(Bustleton)",NA,"2.5 Bathrooms - 4 Bedrooms Great opportunity to purchase quality new","$787 ",4,1428,"/apa/5508786596.html",5508786596,"Philadelphia"
"25","Bustleton",15,"(Bustleton)",NA,"2 Bathrooms - 3 Bedrooms 599 amp service","$599 ",3,1231,"/apa/5527442916.html",5527442916,"Philadelphia"
"26","Bustleton",15,"(Bustleton)",NA,"2 Bathrooms - 3 Bedrooms This 3 bedroom 2 bath lagoon front ranch is","$698 ",3,1234,"/apa/5514651269.html",5514651269,"Philadelphia"
"27","Bustleton",15,"(Bustleton)",NA,"3.5 Bathrooms - 5 Bedrooms Granite tops in all bathrooms","$898 ",5,3178,"/apa/5527377375.html",5527377375,"Philadelphia"
"28","Bustleton",15,"(Bustleton)",NA,"1 Bathroom - 1 Bedroom In the heart of center city at 16th and","$562 ",1,600,"/apa/5508734932.html",5508734932,"Philadelphia"
"29","Bustleton",15,"(Bustleton)",NA,"1 Bathroom - 3 Bedrooms Spacious apartment, lots of natural light","$481 ",3,1200,"/apa/5520860150.html",5520860150,"Philadelphia"
"30","Bustleton",15,"(Bustleton)",NA,"2 Bathrooms - 2 Bedrooms 1st Floor: Open kitchen with updated","$548 ",2,1207,"/apa/5533415340.html",5533415340,"Philadelphia"
"31","Carroll Park",8,"(Carroll Park)",NA,"Three bedroom Carroll Park two story home","$600 ",3,NA,"/apa/5540477479.html",5540477479,"Philadelphia"
"32","Carroll Park",8,"(Carroll Park)",5413358229,"Charming Carroll Park home, just painted","$900 ",3,NA,"/apa/5541656399.html",5541656399,"Philadelphia"
"33","Cedar Park",3,"(4825 Baltimore Avenue)",4523072457,"Cozy Cedar Park 2BD wPrivate Deck for June 2016","$1,300 ",2,900,"/apa/5541064878.html",5541064878,"Philadelphia"
"34","Cedar Park",3,"(47th & Baltimore - University City)",NA,"Bright Studio Apartment Available 1st week of May","$825 ",1,320,"/apa/5540858249.html",5540858249,"Philadelphia"
"35","Cedar Park",3,"(Cedar Park)",5389060631,"3br apartment - Pets permitted - Easy terms","$800 ",3,NA,"/apa/5502793872.html",5502793872,"Philadelphia"
"36","Center City",5,"(224-30 W Rittenhouse Sq)",NA,"The Dorchester on Rittenhouse Square! Live in the center of it All","$2,990 ",2,NA,"/apa/5511397450.html",5511397450,"Philadelphia"
"37","Center City",5,"(Rittenhouse/Center City)",5536642379,"modern apartment*HWD floors*full kitchen*W/D*gym*more available","$1,475 ",1,NA,"/apa/5540827091.html",5540827091,"Philadelphia"
"38","Center City",5," (224-30 W Rittenhouse Sq, 710)",NA,"Rarely Available Sunny South View 2 Bedroom 2 Bath with Balcony","$3,200 ",2,1281,"/apa/5541860958.html",5541860958,"Philadelphia"
"39","Center City",5,"(1500 Locust)",5323234020,"Amazing 1 BR @ 1500 LOCUST. Indoor heated POOL,gorgeous roof top & gym","$1,800 ",1,NA,"/apa/5541391782.html",5541391782,"Philadelphia"
"40","Center City",5,"(1810 Rittenhouse Sq)",NA,"Penthouse one bedroom apartment for rent at the Rittenhouse Savoy","$1,800 ",1,NA,"/apa/5513919229.html",5513919229,"Philadelphia"
"41","Center City",5," (1701 South St Unit #4, Philadelphia, PA 19146)",NA,"Luxury Spacious 1 Br Unit - New Construction on 17TH & SOUTH ST - NEW","$1,800 ",1,650,"/apa/5526227668.html",5526227668,"Philadelphia"
"42","Center City",5,"(1836 Delancey St)",NA,"Beautiful Unit on Delancey Street in Rittenhouse Square!","$2,550 ",2,NA,"/apa/5533469424.html",5533469424,"Philadelphia"
"43","Center City",5,"(106 S. Front Street)",NA,"Waterfront View, huge apartment","$1,895 ",2,1348,"/apa/5540932360.html",5540932360,"Philadelphia"
"44","Center City",5,"(1815 John F Kennedy Blvd)",5167229821,"***1 FREE MONTH!*** The Sterling 1 BR - Resort style living!","$2,358 ",1,800,"/apa/5540939777.html",5540939777,"Philadelphia"
"45","Center City",5,"(1013 Chestnut St)",NA,"Spectacular unit in the beautiful Victory Condominiums Building!","$1,775 ",1,NA,"/apa/5499513865.html",5499513865,"Philadelphia"
"46","Center City",5,"(235 S. 15th street)",5438793858,"Rittenhouse one bedroom available!!!","$1,435 ",1,700,"/apa/5540823702.html",5540823702,"Philadelphia"
"47","Center City",5,"(Center City)",4897761995,"Wine & Dine All In The Comfort Of This Luxuriously XL 1 BD","$2,775 ",1,950,"/apa/5541248997.html",5541248997,"Philadelphia"
"48","Center City",5,"(Center City Philadelphia)",NA,"Take over my lease--I pay you $600","$1,330 ",1,NA,"/apa/5540981442.html",5540981442,"Philadelphia"
"49","Center City",5," (1500 Chestnut St Unit #18E, Philadelphia, PA 19102)",NA,"Gorgeous and Spacious 1 Br 1 Ba in Rittenhouse - 15TH & CHESTNUT","$1,800 ",1,789,"/apa/5525916544.html",5525916544,"Philadelphia"
"50","Center City",5,"(1815 John F Kennedy Blvd)",5167229821,"*RESORT-STYLE LIVING IN CENTER CITY!* 1 FREE month!","$2,128 ",1,800,"/apa/5540789990.html",5540789990,"Philadelphia"
"51","Center City",5,"(3rd & Race)",NA,"Old City-Pet friendly 1br condo-h/w flrs, high ceilings, C/A, W/D","$1,450 ",1,NA,"/apa/5501979829.html",5501979829,"Philadelphia"
